"","project","park","site","Year","Species","No","No.se","No.LCI","No.UCI","p","p.se","p.LCI","p.UCI"
"505","NCRN","ROCR","PYBR","2009","Anguilla rostrata",67.24,7.92,51.71,82.77,0.61,0.12,0.38,0.84
"506","NCRN","ROCR","PYBR","2019","Anguilla rostrata",107.6,4.93,97.94,117.27,0.73,0.07,0.61,0.86
"507","NCRN","ROCR","PYBR","2009","Catostomus commersonnii",20.17,6.11,8.19,32.14,0.55,0.25,0.06,1.03
"508","NCRN","ROCR","PYBR","2019","Catostomus commersonnii",2,0,2,2,1,0,1,1
"509","NCRN","ROCR","PYBR","2009","Cyprinella analostana",104.17,5.29,93.79,114.54,0.72,0.07,0.58,0.86
"510","NCRN","ROCR","PYBR","2009","Exoglossum maxillingua",2,0,2,2,1,0,1,1
"511","NCRN","ROCR","PYBR","2009","Gambusia holbrooki",4,0,4,4,1,0,1,1
"512","NCRN","ROCR","PYBR","2009","Lepomis auritus",3,0,3,3,1,0,1,1
"513","NCRN","ROCR","PYBR","2019","Lepomis auritus",1,0,1,1,1,0,1,1
"514","NCRN","ROCR","PYBR","2009","Lepomis cyanellus",7.2,0.63,5.96,8.44,0.83,0.18,0.48,1.19
"515","NCRN","ROCR","PYBR","2009","Micropterus salmoides",1,0,1,1,1,0,1,1
"516","NCRN","ROCR","PYBR","2009","Notropis procne",44.1,13.07,18.49,69.71,0.48,0.19,0.09,0.86
"517","NCRN","ROCR","PYBR","2019","Notropis procne",1,0,1,1,1,0,1,1
"518","NCRN","ROCR","PYBR","2009","Pimephales notatus",134.7,0.97,132.8,136.6,0.93,0.02,0.88,0.98
"519","NCRN","ROCR","PYBR","2009","Rhinichthys atratulus",183.76,4.32,175.29,192.22,0.79,0.04,0.71,0.88
"520","NCRN","ROCR","PYBR","2019","Rhinichthys atratulus",69.43,2.98,63.58,75.28,0.78,0.07,0.64,0.92
"521","NCRN","ROCR","PYBR","2009","Rhinichthys cataractae",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"522","NCRN","ROCR","PYBR","2019","Semotilus atromaculatus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"523","NCRN","ROCR","R630","2008","Anguilla rostrata",24.92,2.55,19.92,29.93,0.72,0.14,0.45,1
"524","NCRN","ROCR","R630","2019","Anguilla rostrata",86.22,3.9,78.58,93.87,0.75,0.07,0.62,0.89
"525","NCRN","ROCR","R630","2008","Campostoma anomalum",1,0,1,1,1,0,1,1
"527","NCRN","ROCR","R630","2019","Etheostoma olmstedi",1,0,1,1,1,0,1,1
"528","NCRN","ROCR","R630","2008","Rhinichthys atratulus",205.31,8.3,189.04,221.58,0.7,0.05,0.6,0.8
"529","NCRN","ROCR","R630","2019","Rhinichthys atratulus",104.65,2.27,100.2,109.1,0.84,0.05,0.75,0.93
"530","NCRN","ROCR","R630","2008","Rhinichthys cataractae",2,0,2,2,1,0,1,1
"531","NCRN","ROCR","R630","2019","Rhinichthys cataractae",21.78,3.77,14.39,29.16,0.64,0.19,0.28,1.01
"532","NCRN","ROCR","R630","2008","Semotilus atromaculatus",3,0,3,3,1,0,1,1
"533","NCRN","ROCR","R630","2019","Semotilus atromaculatus",2,0,2,2,1,0,1,1
"534","NCRN","ROCR","LUBR","2019","Anguilla rostrata",6,0,6,6,1,0,1,1
"535","NCRN","ROCR","LUBR","2019","Catostomus commersonnii",3,0,3,3,1,0,1,1
"536","NCRN","ROCR","LUBR","2008","Rhinichthys atratulus",58.8,4.12,50.73,66.87,0.71,0.09,0.53,0.9
"537","NCRN","ROCR","LUBR","2019","Rhinichthys atratulus",9.8,1.68,6.51,13.09,0.71,0.23,0.27,1.16
"538","NCRN","ROCR","LUBR","2008","Rhinichthys cataractae",12.8,3.18,6.56,19.04,0.62,0.25,0.13,1.12
"539","NCRN","ROCR","LUBR","2019","Rhinichthys cataractae",13.5,2.6,8.41,18.59,0.67,0.22,0.23,1.1
"540","NCRN","ROCR","LUBR","2019","Semotilus atromaculatus",13.44,0.98,11.53,15.36,0.82,0.14,0.54,1.09
"542","NCRN","WOTR","WOTR","2006","Ameiurus natalis",1,0,1,1,1,0,1,1
"544","NCRN","WOTR","WOTR","2004","Anguilla rostrata",4,0,4,4,1,0,1,1
"545","NCRN","WOTR","WOTR","2006","Anguilla rostrata",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"546","NCRN","WOTR","WOTR","2012","Anguilla rostrata",3,0,3,3,1,0,1,1
"547","NCRN","WOTR","WOTR","2006","Campostoma anomalum",162.72,3.11,156.63,168.82,0.83,0.04,0.75,0.9
"548","NCRN","WOTR","WOTR","2012","Campostoma anomalum",136.03,21.02,94.83,177.23,0.49,0.11,0.28,0.7
"549","NCRN","WOTR","WOTR","2022","Campostoma anomalum",180.5,484.5,-769.1,1130.1,0.11,0.3,-0.48,0.69
"550","NCRN","WOTR","WOTR","2022","Catostomus commersonii",23.21,0.56,22.12,24.3,0.9,0.07,0.77,1.04
"551","NCRN","WOTR","WOTR","2004","Catostomus commersonnii",36.1,9.05,18.37,53.83,0.53,0.19,0.15,0.9
"552","NCRN","WOTR","WOTR","2006","Catostomus commersonnii",48.89,2.88,43.25,54.54,0.76,0.09,0.58,0.93
"553","NCRN","WOTR","WOTR","2012","Catostomus commersonnii",33.06,3.44,26.31,39.81,0.7,0.13,0.44,0.95
"555","NCRN","WOTR","WOTR","2006","Clinostomus funduloides",35.64,2.02,31.67,39.6,0.79,0.1,0.6,0.97
"556","NCRN","WOTR","WOTR","2012","Clinostomus funduloides",56.94,2.8,51.46,62.42,0.77,0.08,0.62,0.93
"560","NCRN","WOTR","WOTR","2006","Cyprinella spiloptera",33.33,5.88,21.81,44.86,0.6,0.17,0.27,0.93
"561","NCRN","WOTR","WOTR","2012","Cyprinella spiloptera",28.47,1.98,24.59,32.35,0.77,0.11,0.55,0.99
"563","NCRN","WOTR","WOTR","2006","Etheostoma olmstedi",37.79,5.97,26.08,49.5,0.61,0.15,0.31,0.91
"564","NCRN","WOTR","WOTR","2012","Etheostoma olmstedi",44.52,3.49,37.69,51.35,0.72,0.11,0.51,0.93
"565","NCRN","WOTR","WOTR","2022","Etheostoma olmstedi",28.17,11.3,6.01,50.32,0.46,0.25,-0.03,0.96
"567","NCRN","WOTR","WOTR","2012","Exoglossum maxillingua",3,0,3,3,1,0,1,1
"568","NCRN","WOTR","WOTR","2006","Lepomis auritus",3,0,3,3,1,0,1,1
"569","NCRN","WOTR","WOTR","2012","Lepomis auritus",12.5,10.61,-8.29,33.29,0.4,0.44,-0.46,1.26
"570","NCRN","WOTR","WOTR","2022","Lepomis auritus",6,0,6,6,1,0,1,1
"571","NCRN","WOTR","WOTR","2004","Lepomis cyanellus",1,0,1,1,1,0,1,1
"572","NCRN","WOTR","WOTR","2006","Lepomis cyanellus",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"573","NCRN","WOTR","WOTR","2012","Lepomis cyanellus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"574","NCRN","WOTR","WOTR","2022","Lepomis cyanellus",17.82,1.43,15.01,20.62,0.79,0.14,0.52,1.05
"575","NCRN","WOTR","WOTR","2004","Lepomis gibbosus",27,23.24,-18.55,72.55,0.33,0.35,-0.36,1.02
"579","NCRN","WOTR","WOTR","2004","Lepomis macrochirus",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"580","NCRN","WOTR","WOTR","2006","Lepomis macrochirus",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"581","NCRN","WOTR","WOTR","2012","Lepomis macrochirus",1,0,1,1,1,0,1,1
"583","NCRN","WOTR","WOTR","2006","Luxilus cornutus",1,0,1,1,1,0,1,1
"584","NCRN","WOTR","WOTR","2012","Luxilus cornutus",49,17.87,13.97,84.03,0.43,0.21,0.02,0.83
"585","NCRN","WOTR","WOTR","2022","Luxilus cornutus",28.47,1.98,24.59,32.35,0.77,0.11,0.55,0.99
"586","NCRN","WOTR","WOTR","2004","Micropterus salmoides",2,0,2,2,1,0,1,1
"588","NCRN","WOTR","WOTR","2004","Notropis procne",9,2.12,4.84,13.16,0.67,0.27,0.13,1.2
"589","NCRN","WOTR","WOTR","2006","Notropis procne",36,99.5,-159.01,231.01,0.17,0.5,-0.82,1.16
"590","NCRN","WOTR","WOTR","2012","Notropis procne",72.2,61.12,-47.6,192,0.26,0.26,-0.25,0.77
"592","NCRN","WOTR","WOTR","2012","Noturus insignis",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"593","NCRN","WOTR","WOTR","2004","Rhinichthys atratulus",197.88,15.42,167.66,228.11,0.59,0.07,0.45,0.73
"594","NCRN","WOTR","WOTR","2006","Rhinichthys atratulus",248.53,5.39,237.97,259.09,0.78,0.04,0.71,0.86
"595","NCRN","WOTR","WOTR","2012","Rhinichthys atratulus",355.69,62.66,232.87,478.51,0.38,0.09,0.21,0.55
"596","NCRN","WOTR","WOTR","2022","Rhinichthys atratulus",432.18,89.09,257.56,606.8,0.34,0.09,0.17,0.51
"599","NCRN","WOTR","WOTR","2012","Rhinichthys cataractae",144,8.49,127.37,160.63,0.67,0.07,0.53,0.8
"600","NCRN","WOTR","WOTR","2022","Rhinichthys cataractae",33.33,5.88,21.81,44.86,0.6,0.17,0.27,0.93
"601","NCRN","WOTR","WOTR","2004","Semotilus atromaculatus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"602","NCRN","WOTR","WOTR","2006","Semotilus atromaculatus",21.78,3.77,14.39,29.16,0.64,0.19,0.28,1.01
"604","NCRN","WOTR","WOTR","2022","Semotilus atromaculatus",146.29,123.26,-95.3,387.88,0.22,0.21,-0.19,0.63
"605","NCRN","ROCR","SVPS","2008","Anguilla rostrata",6.25,0.77,4.75,7.75,0.8,0.22,0.37,1.23
"606","NCRN","ROCR","SVPS","2008","Catostomus commersonnii",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"607","NCRN","ROCR","SVPS","2008","Rhinichthys atratulus",383.21,6.53,370.42,396,0.79,0.03,0.73,0.85
"608","NCRN","ROCR","SVPS","2008","Rhinichthys cataractae",9,2.12,4.84,13.16,0.67,0.27,0.13,1.2
"609","NCRN","ROCR","BAKE","2009","Anguilla rostrata",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"610","NCRN","ROCR","BAKE","2022","Anguilla rostrata",37.5,1.88,33.83,41.17,0.8,0.09,0.62,0.98
"611","NCRN","ROCR","BAKE","2022","Cambarus bartonii",2,0,2,2,1,0,1,1
"612","NCRN","ROCR","BAKE","2022","Eurycea bislineata",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"613","NCRN","NACE","OXRU","2022","Ameiurus natalis",1,0,1,1,1,0,1,1
"614","NCRN","NACE","OXRU","2013","Ameiurus nebulosus",2,0,2,2,1,0,1,1
"615","NCRN","NACE","OXRU","2013","Anguilla rostrata",84.38,13.33,58.25,110.5,0.53,0.12,0.29,0.78
"616","NCRN","NACE","OXRU","2022","Anguilla rostrata",110.3,8.03,94.57,126.03,0.65,0.08,0.49,0.81
"617","NCRN","NACE","OXRU","2013","Campostoma anomalum",1,0,1,1,1,0,1,1
"619","NCRN","NACE","OXRU","2022","Catostomus commersonii",1,0,1,1,1,0,1,1
"620","NCRN","NACE","OXRU","2013","Catostomus commersonnii",1,0,1,1,1,0,1,1
"622","NCRN","NACE","OXRU","2013","Etheostoma blennioides",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"624","NCRN","NACE","OXRU","2013","Etheostoma olmstedi",71.27,26.39,19.55,122.99,0.39,0.19,0.03,0.76
"625","NCRN","NACE","OXRU","2022","Etheostoma olmstedi",33.14,1.58,30.04,36.23,0.81,0.09,0.64,0.99
"626","NCRN","NACE","OXRU","2013","Fundulus diaphanus",1106.29,1891.1,-2600.21,4812.78,0.08,0.14,-0.2,0.36
"627","NCRN","NACE","OXRU","2022","Fundulus diaphanus",386.51,15.31,356.51,416.51,0.65,0.04,0.56,0.73
"628","NCRN","NACE","OXRU","2013","Fundulus heteroclitus",945.19,296.57,363.92,1526.45,0.23,0.08,0.07,0.38
"629","NCRN","NACE","OXRU","2022","Fundulus heteroclitus",214.08,40.14,135.4,292.76,0.42,0.1,0.22,0.62
"630","NCRN","NACE","OXRU","2013","Gambusia holbrooki",85.33,32.05,22.52,148.15,0.38,0.18,0.03,0.72
"633","NCRN","NACE","OXRU","2022","Hybognathus regius",184.26,1.33,181.65,186.88,0.92,0.02,0.87,0.96
"634","NCRN","NACE","OXRU","2013","Lepomis auritus",47.53,1.81,43.99,51.08,0.82,0.07,0.68,0.96
"635","NCRN","NACE","OXRU","2022","Lepomis auritus",48.66,1.03,46.64,50.68,0.88,0.05,0.78,0.99
"636","NCRN","NACE","OXRU","2013","Lepomis gibbosus",96.04,16.08,64.53,127.55,0.51,0.12,0.27,0.75
"637","NCRN","NACE","OXRU","2013","Lepomis macrochirus",26.27,4.04,18.35,34.2,0.65,0.17,0.32,0.98
"638","NCRN","NACE","OXRU","2022","Lepomis macrochirus",1,0,1,1,1,0,1,1
"639","NCRN","NACE","OXRU","2013","Lepomis megalotis",10.12,0.44,9.25,11,0.89,0.12,0.66,1.12
"640","NCRN","NACE","OXRU","2022","Lepomis megalotis",1,0,1,1,1,0,1,1
"641","NCRN","NACE","OXRU","2022","Menidia/membras sp.",4.5,1.5,1.56,7.44,0.67,0.38,-0.09,1.42
"642","NCRN","NACE","OXRU","2022","Micropterus dolomieu",1,0,1,1,1,0,1,1
"643","NCRN","NACE","OXRU","2013","Micropterus salmoides",9,2.12,4.84,13.16,0.67,0.27,0.13,1.2
"644","NCRN","NACE","OXRU","2022","Micropterus salmoides",5.33,0.99,3.39,7.28,0.75,0.28,0.2,1.3
"647","NCRN","NACE","OXRU","2006","Rhinichthys atratulus",290.97,19.6,252.56,329.38,0.58,0.06,0.46,0.69
"648","NCRN","NACE","OXRU","2022","Rhinichthys atratulus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"650","NCRN","NACE","ACCK","2013","Ameiurus natalis",1,0,1,1,1,0,1,1
"651","NCRN","NACE","ACCK","2004","Ameiurus nebulosus",130.05,35.79,59.9,200.2,0.39,0.14,0.12,0.66
"655","NCRN","NACE","ACCK","2013","Catostomus commersonnii",24.2,10.88,2.87,45.53,0.45,0.28,-0.09,1
"656","NCRN","NACE","ACCK","2004","Erimyzon oblongus",66.67,8.31,50.37,82.96,0.6,0.12,0.37,0.83
"657","NCRN","NACE","ACCK","2013","Erimyzon oblongus",9.14,0.49,8.18,10.1,0.88,0.13,0.62,1.13
"658","NCRN","NACE","ACCK","2004","Etheostoma olmstedi",441,2689.31,-4829.96,5711.96,0.05,0.3,-0.54,0.63
"660","NCRN","NACE","ACCK","2004","Fundulus diaphanus",109.44,13.37,83.25,135.64,0.56,0.1,0.36,0.76
"661","NCRN","NACE","ACCK","2004","Gambusia affinis",605.57,24.69,557.17,653.97,0.6,0.04,0.53,0.68
"663","NCRN","NACE","ACCK","2004","Lampetra aepyptera",1,0,1,1,1,0,1,1
"664","NCRN","NACE","ACCK","2004","Lepomis cyanellus",28.17,11.3,6.01,50.32,0.46,0.25,-0.03,0.96
"666","NCRN","NACE","ACCK","2004","Lepomis gibbosus",18.78,2.65,13.59,23.97,0.69,0.18,0.35,1.04
"667","NCRN","NACE","ACCK","2013","Lepomis gibbosus",14.4,0.9,12.64,16.16,0.83,0.13,0.58,1.08
"668","NCRN","NACE","ACCK","2004","Lepomis macrochirus",13.09,0.36,12.39,13.79,0.92,0.09,0.75,1.09
"669","NCRN","NACE","ACCK","2013","Lepomis macrochirus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"670","NCRN","NACE","ACCK","2004","Notemigonus crysoleucas",1,0,1,1,1,0,1,1
"671","NCRN","NACE","ACCK","2004","Petromyzon marinus",8.33,2.94,2.57,14.1,0.6,0.33,-0.06,1.26
"673","NCRN","NACE","ACCK","2004","Semotilus atromaculatus",64.06,12.79,38.99,89.12,0.52,0.15,0.23,0.8
"674","NCRN","NACE","ACCK","2013","Semotilus atromaculatus",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"675","NCRN","NACE","ACCK","2004","Umbra pygmaea",65.33,85.56,-102.35,233.02,0.21,0.32,-0.41,0.83
"678","NCRN","NACE","HECR","2022","Anguilla rostrata",13.44,0.98,11.53,15.36,0.82,0.14,0.54,1.09
"679","NCRN","NACE","HECR","2013","Campostoma anomalum",232.82,2.55,227.82,237.82,0.87,0.03,0.82,0.92
"680","NCRN","NACE","HECR","2022","Campostoma anomalum",107.27,11.29,85.15,129.39,0.59,0.1,0.4,0.78
"681","NCRN","NACE","HECR","2022","Catostomus commersonii",43.56,5.33,33.11,54,0.64,0.13,0.38,0.9
"682","NCRN","NACE","HECR","2013","Catostomus commersonnii",7,0,7,7,1,0,1,1
"683","NCRN","NACE","HECR","2013","Clinostomus funduloides",2,0,2,2,1,0,1,1
"684","NCRN","NACE","HECR","2022","Clinostomus funduloides",9.14,0.49,8.18,10.1,0.88,0.13,0.62,1.13
"685","NCRN","NACE","HECR","2013","Cyprinella analostana",36.57,0.98,34.65,38.49,0.88,0.07,0.75,1
"687","NCRN","NACE","HECR","2013","Etheostoma olmstedi",105.31,3.2,99.05,111.58,0.8,0.05,0.69,0.9
"688","NCRN","NACE","HECR","2022","Etheostoma olmstedi",57.6,20.71,17,98.2,0.42,0.2,0.03,0.8
"691","NCRN","NACE","HECR","2013","Fundulus heteroclitus",11.57,1.22,9.18,13.96,0.78,0.17,0.44,1.12
"692","NCRN","NACE","HECR","2013","Lepomis auritus",79.2,2.11,75.07,83.33,0.83,0.05,0.73,0.94
"693","NCRN","NACE","HECR","2022","Lepomis auritus",180.02,13.27,154.01,206.02,0.61,0.07,0.47,0.74
"694","NCRN","NACE","HECR","2013","Lepomis cyanellus",2,0,2,2,1,0,1,1
"695","NCRN","NACE","HECR","2022","Lepomis cyanellus",21.12,4.31,12.68,29.57,0.62,0.2,0.22,1.01
"696","NCRN","NACE","HECR","2013","Lepomis macrochirus",6.25,0.77,4.75,7.75,0.8,0.22,0.37,1.23
"697","NCRN","NACE","HECR","2022","Lepomis macrochirus",1,0,1,1,1,0,1,1
"700","NCRN","NACE","HECR","2013","Notropis procne",204.46,6.42,191.88,217.04,0.74,0.05,0.65,0.83
"701","NCRN","NACE","HECR","2022","Notropis procne",36,10.39,15.63,56.37,0.5,0.2,0.1,0.9
"703","NCRN","NACE","HECR","2013","Rhinichthys atratulus",397.73,3.4,391.07,404.39,0.87,0.02,0.83,0.91
"704","NCRN","NACE","HECR","2022","Rhinichthys atratulus",24.2,10.88,2.87,45.53,0.45,0.28,-0.09,1
"705","NCRN","NACE","HECR","2013","Rhinichthys cataractae",91.78,1.78,88.29,95.27,0.86,0.04,0.77,0.95
"706","NCRN","NACE","HECR","2013","Semotilus atromaculatus",112.23,3.63,105.11,119.35,0.78,0.05,0.68,0.89
"707","NCRN","NACE","HECR","2022","Semotilus atromaculatus",72.25,17.24,38.46,106.04,0.47,0.15,0.17,0.77
"710","NCRN","NACE","STCK","2004","Anguilla rostrata",8,0,8,8,1,0,1,1
"711","NCRN","NACE","STCK","2013","Anguilla rostrata",72.02,3.34,65.47,78.57,0.76,0.07,0.62,0.91
"712","NCRN","NACE","STCK","2022","Anguilla rostrata",73.09,10.72,52.08,94.09,0.56,0.12,0.32,0.8
"713","NCRN","NACE","STCK","2022","Campostoma anomalum",3,0,3,3,1,0,1,1
"714","NCRN","NACE","STCK","2004","Carassius auratus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"715","NCRN","NACE","STCK","2022","Catostomus commersonii",3,0,3,3,1,0,1,1
"716","NCRN","NACE","STCK","2004","Catostomus commersonnii",81,296.86,-500.84,662.84,0.11,0.43,-0.74,0.96
"718","NCRN","NACE","STCK","2004","Clinostomus funduloides",1,0,1,1,1,0,1,1
"719","NCRN","NACE","STCK","2022","Crayfish",1,0,1,1,1,0,1,1
"720","NCRN","NACE","STCK","2013","Cyprinella spiloptera",29.76,1.22,27.37,32.16,0.84,0.09,0.67,1.01
"722","NCRN","NACE","STCK","2013","Erimyzon oblongus",1,0,1,1,1,0,1,1
"723","NCRN","NACE","STCK","2004","Etheostoma olmstedi",39.38,1.75,35.95,42.82,0.81,0.08,0.65,0.98
"724","NCRN","NACE","STCK","2013","Etheostoma olmstedi",113.4,13.74,86.48,140.32,0.56,0.1,0.36,0.75
"725","NCRN","NACE","STCK","2022","Etheostoma olmstedi",76.8,7.8,61.51,92.09,0.62,0.1,0.42,0.83
"729","NCRN","NACE","STCK","2013","Fundulus diaphanus",19.06,0.27,18.53,19.59,0.94,0.06,0.83,1.06
"730","NCRN","NACE","STCK","2004","Fundulus heteroclitus",60.17,38.81,-15.9,136.24,0.32,0.25,-0.17,0.8
"731","NCRN","NACE","STCK","2013","Gambusia holbrooki",56.25,52.58,-46.81,159.31,0.27,0.29,-0.3,0.84
"732","NCRN","NACE","STCK","2004","Lepomis auritus",1,0,1,1,1,0,1,1
"733","NCRN","NACE","STCK","2013","Lepomis auritus",8.33,2.94,2.57,14.1,0.6,0.33,-0.06,1.26
"734","NCRN","NACE","STCK","2013","Lepomis cyanellus",1,0,1,1,1,0,1,1
"735","NCRN","NACE","STCK","2004","Lepomis gibbosus",9.14,0.49,8.18,10.1,0.88,0.13,0.62,1.13
"736","NCRN","NACE","STCK","2004","Lepomis macrochirus",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"737","NCRN","NACE","STCK","2013","Lepomis macrochirus",36.12,12.19,12.23,60.02,0.47,0.22,0.04,0.9
"738","NCRN","NACE","STCK","2004","Micropterus salmoides",1,0,1,1,1,0,1,1
"740","NCRN","NACE","STCK","2013","Notropis buccatus",3,0,3,3,1,0,1,1
"741","NCRN","NACE","STCK","2022","Notropis hudsonius",16.33,10.32,-3.89,36.56,0.43,0.36,-0.27,1.13
"742","NCRN","NACE","STCK","2004","Notropis procne",28.8,14.65,0.09,57.51,0.42,0.28,-0.13,0.96
"743","NCRN","NACE","STCK","2013","Notropis procne",60.83,4.81,51.39,70.26,0.69,0.1,0.5,0.88
"744","NCRN","NACE","STCK","2022","Notropis procne",9,13.42,-17.3,35.3,0.33,0.61,-0.86,1.53
"745","NCRN","NACE","STCK","2022","Noturus insignis",4,3.46,-2.79,10.79,0.5,0.61,-0.7,1.7
"746","NCRN","NACE","STCK","2004","Rhinichthys atratulus",187.5,41.08,106.99,268.01,0.4,0.11,0.18,0.62
"747","NCRN","NACE","STCK","2013","Rhinichthys atratulus",95.52,2.23,91.14,99.9,0.84,0.05,0.74,0.93
"750","NCRN","NACE","STCK","2013","Rhinichthys cataractae",12.8,3.18,6.56,19.04,0.62,0.25,0.13,1.12
"751","NCRN","NACE","STCK","2022","Rhinichthys cataractae",78.77,25.69,28.41,129.13,0.41,0.17,0.07,0.74
"752","NCRN","NACE","STCK","2004","Semotilus atromaculatus",20.45,2.16,16.22,24.69,0.73,0.15,0.44,1.03
"753","NCRN","NACE","STCK","2013","Semotilus atromaculatus",67.85,7.57,53.01,82.68,0.62,0.11,0.4,0.84
"754","NCRN","NACE","STCK","2022","Semotilus atromaculatus",36,10.39,15.63,56.37,0.5,0.2,0.1,0.9
